component,circ_n_mult,circ_n_and,circ_n_cmp,circ_n_eq,circ_n_b2a,circ_n_trunc,circ_n_local_mac,circ_rounds,protocol,rounds,and_gates,mults,online_bits,online_MB,offline_MB,online_bits_per_item,time_ms,latency_ms,bandwidth_ms,network
phash-sieve/block_collision (49 tiles x 16 bit),111475000.0,0.0,111475000.0,2450000.0,0.0,0.0,0.0,459.0,"3PC replicated (ABY3-style, semi-honest, Z_2^64)",459,5499025000.0,111475000.0,37900275000,4737.534375,0.0,758005.5,144694.25,18360.0,126334.25,WAN
phash-sieve/block_collision (49 tiles x 16 bit),111475000.0,0.0,111475000.0,2450000.0,0.0,0.0,0.0,459.0,"2PC SPDZ-style (semi-honest, Beaver triples, Z_2^64)",459,5499025000.0,111475000.0,50533700000,6316.7125,404269.6,1010674.0,25358.65,91.80000000000001,25266.850000000002,LAN
phash-sieve/block_collision (49 tiles x 16 bit),111475000.0,0.0,111475000.0,2450000.0,0.0,0.0,0.0,459.0,"2PC SPDZ-style (semi-honest, Beaver triples, Z_2^64)",459,5499025000.0,111475000.0,50533700000,6316.7125,404269.6,1010674.0,271028.5,18360.0,252668.5,WAN
phash-sieve/hash_spectral (B=256),256000800.0,0.0,50000.0,0.0,12800000.0,0.0,0.0,107.0,"3PC replicated (ABY3-style, semi-honest, Z_2^64)",107,16050000.0,256000800.0,51657903600,6457.23795,0.0,1033158.072,17240.701200000003,21.400000000000002,17219.3012,LAN
phash-sieve/hash_spectral (B=256),256000800.0,0.0,50000.0,0.0,12800000.0,0.0,0.0,107.0,"3PC replicated (ABY3-style, semi-honest, Z_2^64)",107,16050000.0,256000800.0,51657903600,6457.23795,0.0,1033158.072,176473.01200000002,4280.0,172193.01200000002,WAN
phash-sieve/hash_spectral (B=256),256000800.0,0.0,50000.0,0.0,12800000.0,0.0,0.0,107.0,"2PC SPDZ-style (semi-honest, Beaver triples, Z_2^64)",107,16050000.0,256000800.0,67238804800,8404.8506,524803.2384,1344776.096,33640.8024,21.400000000000002,33619.4024,LAN
phash-sieve/hash_spectral (B=256),256000800.0,0.0,50000.0,0.0,12800000.0,0.0,0.0,107.0,"2PC SPDZ-style (semi-honest, Beaver triples, Z_2^64)",107,16050000.0,256000800.0,67238804800,8404.8506,524803.2384,1344776.096,340474.02400000003,4280.0,336194.02400000003,WAN
phash-sieve/hamming_ball (B=256),0.0,31993600000.0,124975000.0,0.0,0.0,0.0,0.0,13.0,"3PC replicated (ABY3-style, semi-honest, Z_2^64)",13,35492900000.0,0.0,106478700000,13309.8375,0.0,2129574.0,35495.5,2.6,35492.9,LAN
phash-sieve/hamming_ball (B=256),0.0,31993600000.0,124975000.0,0.0,0.0,0.0,0.0,13.0,"3PC replicated (ABY3-style, semi-honest, Z_2^64)",13,35492900000.0,0.0,106478700000,13309.8375,0.0,2129574.0,355449.0,520.0,354929.0,WAN
phash-sieve/hamming_ball (B=256),0.0,31993600000.0,124975000.0,0.0,0.0,0.0,0.0,13.0,"2PC SPDZ-style (semi-honest, Beaver triples, Z_2^64)",13,35492900000.0,0.0,141971600000,17746.45,1135772.8,2839432.0,70988.40000000001,2.6,70985.8,LAN
phash-sieve/hamming_ball (B=256),0.0,31993600000.0,124975000.0,0.0,0.0,0.0,0.0,13.0,"2PC SPDZ-style (semi-honest, Beaver triples, Z_2^64)",13,35492900000.0,0.0,141971600000,17746.45,1135772.8,2839432.0,710378.0,520.0,709858.0,WAN
"phash-sieve/hamming_knn (B=256, k=10)",500000.0,31993600000.0,2624975000.0,0.0,0.0,0.0,0.0,63.0,"3PC replicated (ABY3-style, semi-honest, Z_2^64)",63,105492900000.0,500000.0,316574700000,39571.8375,0.0,6331494.0,105537.50000000001,12.600000000000001,105524.90000000001,LAN
"phash-sieve/hamming_knn (B=256, k=10)",500000.0,31993600000.0,2624975000.0,0.0,0.0,0.0,0.0,63.0,"3PC replicated (ABY3-style, semi-honest, Z_2^64)",63,105492900000.0,500000.0,316574700000,39571.8375,0.0,6331494.0,1057769.0,2520.0,1055249.0,WAN
"phash-sieve/hamming_knn (B=256, k=10)",500000.0,31993600000.0,2624975000.0,0.0,0.0,0.0,0.0,63.0,"2PC SPDZ-style (semi-honest, Beaver triples, Z_2^64)",63,105492900000.0,500000.0,422099600000,52762.45,3376796.8,8441992.0,211062.40000000002,12.600000000000001,211049.80000000002,LAN
"phash-sieve/hamming_knn (B=256, k=10)",500000.0,31993600000.0,2624975000.0,0.0,0.0,0.0,0.0,63.0,"2PC SPDZ-style (semi-honest, Beaver triples, Z_2^64)",63,105492900000.0,500000.0,422099600000,52762.45,3376796.8,8441992.0,2113018.0,2520.0,2110498.0,WAN
baseline/pixel k-NN (d=3072),383923700000.0,0.0,2500000000.0,0.0,0.0,0.0,0.0,71.0,"3PC replicated (ABY3-style, semi-honest, Z_2^64)",71,802500000000.0,383923700000.0,76120850400000,9515106.3,0.0,1522417008.0,25373631.0,14.200000000000001,25373616.8,LAN
baseline/pixel k-NN (d=3072),383923700000.0,0.0,2500000000.0,0.0,0.0,0.0,0.0,71.0,"3PC replicated (ABY3-style, semi-honest, Z_2^64)",71,802500000000.0,383923700000.0,76120850400000,9515106.3,0.0,1522417008.0,253739008.0,2840.0,253736168.0,WAN
baseline/pixel k-NN (d=3072),383923700000.0,0.0,2500000000.0,0.0,0.0,0.0,0.0,71.0,"2PC SPDZ-style (semi-honest, Beaver triples, Z_2^64)",71,802500000000.0,383923700000.0,101494467200000,12686808.4,811955737.6,2029889344.0,50747247.800000004,14.200000000000001,50747233.6,LAN
baseline/pixel k-NN (d=3072),383923700000.0,0.0,2500000000.0,0.0,0.0,0.0,0.0,71.0,"2PC SPDZ-style (semi-honest, Beaver triples, Z_2^64)",71,802500000000.0,383923700000.0,101494467200000,12686808.4,811955737.6,2029889344.0,507475176.0,2840.0,507472336.0,WAN
"baseline/activation clustering (k-means, d=512)",1024163840.0,0.0,1000000.0,0.0,0.0,0.0,0.0,300.0,"3PC replicated (ABY3-style, semi-honest, Z_2^64)",300,321000000.0,1024163840.0,197602457280,24700.30716,0.0,3952049.1456,65927.48576,60.0,65867.48576,LAN
"baseline/activation clustering (k-means, d=512)",1024163840.0,0.0,1000000.0,0.0,0.0,0.0,0.0,300.0,"3PC replicated (ABY3-style, semi-honest, Z_2^64)",300,321000000.0,1024163840.0,197602457280,24700.30716,0.0,3952049.1456,670674.8576,12000.0,658674.8576,WAN
"baseline/activation clustering (k-means, d=512)",1024163840.0,0.0,1000000.0,0.0,0.0,0.0,0.0,300.0,"2PC SPDZ-style (semi-honest, Beaver triples, Z_2^64)",300,321000000.0,1024163840.0,263469943040,32933.74288,2107759.54432,5269398.8608,131794.97152,60.0,131734.97152,LAN
"baseline/activation clustering (k-means, d=512)",1024163840.0,0.0,1000000.0,0.0,0.0,0.0,0.0,300.0,"2PC SPDZ-style (semi-honest, Beaver triples, Z_2^64)",300,321000000.0,1024163840.0,263469943040,32933.74288,2107759.54432,5269398.8608,1329349.7152,12000.0,1317349.7152,WAN
baseline/ResNet-18 inference (50k images),27801856000000.0,0.0,30720000000.0,0.0,0.0,0.0,0.0,60.0,"3PC replicated (ABY3-style, semi-honest, Z_2^64)",60,9861120000000.0,27801856000000.0,5367539712000000,670942464.0,0.0,107350794240.0,1789179916.0,12.0,1789179904.0,LAN
baseline/ResNet-18 inference (50k images),27801856000000.0,0.0,30720000000.0,0.0,0.0,0.0,0.0,60.0,"3PC replicated (ABY3-style, semi-honest, Z_2^64)",60,9861120000000.0,27801856000000.0,5367539712000000,670942464.0,0.0,107350794240.0,17891801440.0,2400.0,17891799040.0,WAN
baseline/ResNet-18 inference (50k images),27801856000000.0,0.0,30720000000.0,0.0,0.0,0.0,0.0,60.0,"2PC SPDZ-style (semi-honest, Beaver triples, Z_2^64)",60,9861120000000.0,27801856000000.0,7156719616000000,894589952.0,57253756928.0,143134392320.0,3578359820.0,12.0,3578359808.0,LAN
baseline/ResNet-18 inference (50k images),27801856000000.0,0.0,30720000000.0,0.0,0.0,0.0,0.0,60.0,"2PC SPDZ-style (semi-honest, Beaver triples, Z_2^64)",60,9861120000000.0,27801856000000.0,7156719616000000,894589952.0,57253756928.0,143134392320.0,35783600480.0,2400.0,35783598080.0,WAN
baseline/ResNet-18 training (30 epochs),2502167040000000.0,0.0,2764800000000.0,0.0,0.0,0.0,0.0,2106000.0,"3PC replicated (ABY3-style, semi-honest, Z_2^64)",2106000,887500800000000.0,2502167040000000.0,483078574080000000,60384821760.0,0.0,9661571481600.0,161026612560.0,421200.0,161026191360.0,LAN
baseline/ResNet-18 training (30 epochs),2502167040000000.0,0.0,2764800000000.0,0.0,0.0,0.0,0.0,2106000.0,"3PC replicated (ABY3-style, semi-honest, Z_2^64)",2106000,887500800000000.0,2502167040000000.0,483078574080000000,60384821760.0,0.0,9661571481600.0,1610346153600.0,84240000.0,1610261913600.0,WAN
baseline/ResNet-18 training (30 epochs),2502167040000000.0,0.0,2764800000000.0,0.0,0.0,0.0,0.0,2106000.0,"2PC SPDZ-style (semi-honest, Beaver triples, Z_2^64)",2106000,887500800000000.0,2502167040000000.0,644104765440000000,80513095680.0,5152838123520.0,12882095308800.0,322052803920.0,421200.0,322052382720.0,LAN
baseline/ResNet-18 training (30 epochs),2502167040000000.0,0.0,2764800000000.0,0.0,0.0,0.0,0.0,2106000.0,"2PC SPDZ-style (semi-honest, Beaver triples, Z_2^64)",2106000,887500800000000.0,2502167040000000.0,644104765440000000,80513095680.0,5152838123520.0,12882095308800.0,3220608067200.0,84240000.0,3220523827200.0,WAN
baseline/spectral signatures (train+infer+SVD),2529969408000800.0,0.0,2795520050000.0,0.0,25600000.0,0.0,0.0,2106000.0,"3PC replicated (ABY3-style, semi-honest, Z_2^64)",2106000,897361936050000.0,2529969408000800.0,488446217059503600,61055777132.43795,0.0,9768924341190.072,162815826886.5012,421200.0,162815405686.5012,LAN
baseline/spectral signatures (train+infer+SVD),2529969408000800.0,0.0,2795520050000.0,0.0,25600000.0,0.0,0.0,2106000.0,"3PC replicated (ABY3-style, semi-honest, Z_2^64)",2106000,897361936050000.0,2529969408000800.0,488446217059503600,61055777132.43795,0.0,9768924341190.072,1628238296865.012,84240000.0,1628154056865.012,WAN
baseline/spectral signatures (train+infer+SVD),2529969408000800.0,0.0,2795520050000.0,0.0,25600000.0,0.0,0.0,2106000.0,"2PC SPDZ-style (semi-honest, Beaver triples, Z_2^64)",2106000,897361936050000.0,2529969408000800.0,651261619469204800,81407702433.65059,5210092929539.238,13025232389384.096,325631230934.6024,421200.0,325630809734.6024,LAN
baseline/spectral signatures (train+infer+SVD),2529969408000800.0,0.0,2795520050000.0,0.0,25600000.0,0.0,0.0,2106000.0,"2PC SPDZ-style (semi-honest, Beaver triples, Z_2^64)",2106000,897361936050000.0,2529969408000800.0,651261619469204800,81407702433.65059,5210092929539.238,13025232389384.096,3256392337346.0234,84240000.0,3256308097346.0234,WAN
deployed/Sieve-B,,,,,,,,,"3PC replicated (ABY3-style, semi-honest, Z_2^64)",465,,,223337475000,27917.184375,,,74538.825,,,LAN
deployed/Sieve-B,,,,,,,,,"3PC replicated (ABY3-style, semi-honest, Z_2^64)",465,,,223337475000,27917.184375,,,763058.25,,,WAN
deployed/Sieve-B,,,,,,,,,"2PC SPDZ-style (semi-honest, Beaver triples, Z_2^64)",466,,,330551300000,41318.9125,,,165368.85,,,LAN
deployed/Sieve-B,,,,,,,,,"2PC SPDZ-style (semi-honest, Beaver triples, Z_2^64)",466,,,330551300000,41318.9125,,,1671396.5,,,WAN
deployed/Sieve-L,,,,,,,,,"3PC replicated (ABY3-style, semi-honest, Z_2^64)",23,,,59193751536,7399.2189419999995,,,19735.850511999997,,,LAN
deployed/Sieve-L,,,,,,,,,"3PC replicated (ABY3-style, semi-honest, Z_2^64)",23,,,59193751536,7399.2189419999995,,,198232.50512,,,WAN
deployed/Sieve-L,,,,,,,,,"2PC SPDZ-style (semi-honest, Beaver triples, Z_2^64)",24,,,105139402048,13142.425256,,,52574.501024,,,LAN
deployed/Sieve-L,,,,,,,,,"2PC SPDZ-style (semi-honest, Beaver triples, Z_2^64)",24,,,105139402048,13142.425256,,,526657.01024,,,WAN
deployed/Sieve-S,,,,,,,,,"3PC replicated (ABY3-style, semi-honest, Z_2^64)",20,,,49464300000,6183.037499999999,,,16492.1,,,LAN
deployed/Sieve-S,,,,,,,,,"3PC replicated (ABY3-style, semi-honest, Z_2^64)",20,,,49464300000,6183.037499999999,,,165681.0,,,WAN
deployed/Sieve-S,,,,,,,,,"2PC SPDZ-style (semi-honest, Beaver triples, Z_2^64)",21,,,98720400000,12340.050000000001,,,49364.399999999994,,,LAN
deployed/Sieve-S,,,,,,,,,"2PC SPDZ-style (semi-honest, Beaver triples, Z_2^64)",21,,,98720400000,12340.050000000001,,,494442.0,,,WAN
deployed/PHash-Sieve (B + L),,,,,,,,,"3PC replicated (ABY3-style, semi-honest, Z_2^64)",482,,,233225626536,29153.203317,,,77838.27551200001,,,LAN
deployed/PHash-Sieve (B + L),,,,,,,,,"3PC replicated (ABY3-style, semi-honest, Z_2^64)",482,,,233225626536,29153.203317,,,796698.75512,,,WAN
